name,grade,style,crag,area,country,shortnote,notes,date,project,stars,cragnote
Asia Shadow Play,8a+,,Tyrolean Wall,Tonsai,Thailand,,nextes Mal Tonsai wird die abgeholt!,2013-01-01,X,2,
Tyrolean Air,7c,,Tyrolean Wall,Tonsai,Thailand,,,2013-01-01,,1,
"Blind, Deaf and Dumb",7b+,,Tyrolean Wall,Tonsai,Thailand,,,2013-01-01,,,
"Pavel, Wish You Were Here",7a,,Tyrolean Wall,Tonsai,Thailand,,,2013-01-01,,,
Missing Snow,6b+,o.s.,Tyrolean Wall,Tonsai,Thailand,,,2013-01-01,,,
Totem,7a+,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Britshly White,7a,,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Freedom Safari,7a,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Dozer Rays,6c,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Little Fish,6b+,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Kitty Toe,6b,,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Techno-Bug,6a+,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Banana Hammock,6a+,o.s.,The Nest/ Wild Kingdom,Tonsai,Thailand,,,2013-01-01,,,
Cross Eyed,7b,,Melting Wall,Tonsai,Thailand,,,2013-01-01,,2,
Bonsoir,7a+,,Melting Wall,Tonsai,Thailand,,,2013-01-01,,,
The Smoking Room,6b+,o.s.,Melting Wall,Tonsai,Thailand,,,2013-01-01,,,
VooDoo Doll,7c+,,Tonsai Roof,Tonsai,Thailand,,erste 7c+,2013-01-01,,3,
Phet Mak (very spicy),7c+,,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,3,
Baby Gorilla,7c,2. Go,Tonsai Roof,Tonsai,Thailand,,"2. Go, erste 7c",2013-01-01,,1,
Tidal Wave,7b+,,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Cafe Andaman,7b,F,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Lal Bab,7a+,F,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
Tonsai Playboy,7a+,,Tonsai Roof,Tonsai,Thailand,,,2013-01-01,,,
